labels,data
249.a.249.1,"[[0, 1, 1], [1, 0, 0, 1]]"
249.a.6723.1,"[[2, 3, 1, 1, 0, -1], [1, 0, 0, 1]]"
277.a.277.1,"[[0, -1, -1], [1, 1, 1, 1]]"
277.a.277.2,"[[-6, 11, -19, 14, -9, 1], [1]]"
295.a.295.1,"[[0, 0, -1], [1, 0, 0, 1]]"
295.a.295.2,"[[-608, 389, 22, -40, 0, 1], [1, 1, 1]]"
349.a.349.1,"[[0, 0, -1, -1], [1, 1, 1, 1]]"
353.a.353.1,"[[0, 0, 1], [1, 1, 0, 1]]"
388.a.776.1,"[[0, 1, 2, 0, -1], [1, 1, 0, 1]]"
389.a.389.1,"[[7, 16, 0, -8, -2, 1], [0, 1, 0, 1]]"
389.a.389.2,"[[0, 0, 1, 2, 2, 1], [1, 1]]"
394.a.394.1,"[[-9, 17, 0, -12, 1, 2], [0, 1, 0, 1]]"
394.a.3152.1,"[[0, 0, 0, 0, 0, -1], [1, 1]]"
427.a.2989.1,"[[-4, 4, 4, -5, -1, 1], [1, 0, 0, 1]]"
461.a.461.1,"[[-2, 3, 0, -3, 0, 1], [0, 0, 0, 1]]"
461.a.461.2,"[[-306, 272, 10, -39, -1, 1], [1]]"
464.a.464.1,"[[0, 0, 0, -1, -2, -2, -1], [1, 1]]"
464.a.29696.1,"[[0, 0, -2, -4, 3, 8], [1, 1]]"
464.a.29696.2,"[[0, 1, 16, 72, 33, 4], [0, 1]]"
472.a.944.1,"[[0, 1, 0, -2, -1, 1], [1, 0, 1]]"
472.a.60416.1,"[[0, 0, 2, 4, 5, 8], [1, 1]]"
523.a.523.1,"[[0, 0, 0, -1, -1, 1], [1, 1]]"
523.a.523.2,"[[0, -1, 21, -110, -31, 1], [0, 1]]"
555.a.8325.1,"[[0, 1, 1, -4, -2, 3], [1, 1]]"
574.a.293888.1,"[[1, 1, -3, 0, -1, 1], [0, 1, 1]]"
587.a.587.1,"[[0, -1, -1], [1, 1, 0, 1]]"
597.a.597.1,"[[0, 1, 2, 3, 2, 1], [1]]"
603.a.603.1,"[[0, 2, 4, 4, 8, 1], [1, 0, 1]]"
603.a.603.2,"[[0, 1, 0, -1, 0, 1], [1, 0, 1]]"
604.a.9664.1,"[[-21, -53, -4, 48, 9, 4], [1, 1, 1]]"
604.a.9664.2,"[[0, -1, 1, 1, -1], [1, 0, 0, 1]]"
644.b.14812.1,"[[-1, -1, 5, -4, -1, 1], [1, 0, 0, 1]]"
688.a.2752.1,"[[0, -1, 0, 4, -5, 2], [1]]"
688.a.704512.2,"[[1, 4, 2, -8, -7, 2], []]"
688.a.704512.1,"[[1, 2, 1, 4, 0, 2], []]"
691.a.691.1,"[[0, 0, -1, -1, 0, 1], [1, 1]]"
704.a.45056.1,"[[0, 0, -2, -1, 4, 4], [1]]"
708.a.2832.1,"[[0, 0, 0, 0, 0, 1], [1, 1, 1]]"
708.a.19116.1,"[[-1, 4, 4, 0, 0, -1], [1, 0, 0, 1]]"
708.a.181248.1,"[[-36, -98, -41, 48, 9, -4, -1], [1, 0, 0, 1]]"
709.a.709.1,"[[0, 1, -2, 0, 0, 1], [0, 1]]"
713.a.713.1,"[[0, -1, 0, 0, 0, -1], [1, 1, 0, 1]]"
713.b.713.1,"[[0, 0, 0, 0, -1], [1, 1, 0, 1]]"
731.a.12427.1,"[[-3, -1, 0, 0, 2, 1], [0, 0, 1, 1]]"
741.a.28899.1,"[[0, 1, 2, 0, -1, -3], [1, 1]]"
743.a.743.1,"[[0, 0, 1, 0, -1], [1, 1, 0, 1]]"
745.a.745.1,"[[0, -1], [1, 1, 0, 1]]"
762.a.3048.1,"[[1, 1, 1], [0, 1, 1, 1]]"
762.a.82296.1,"[[0, -1, 2, 14, -8, 1], [0, 1, 1]]"
763.a.763.1,"[[0, -1, 2, 0, -2], [0, 1, 0, 1]]"
768.a.1536.1,"[[0, 1, 0, -3, -1, 2], [1]]"
768.a.4608.1,"[[-1, -1, -1, -1], [1, 1, 1, 1]]"
797.a.797.1,"[[0, 0, 0, 1, -1, 1], [1]]"
807.a.2421.1,"[[-1, 2, -1, -2, 0, 1], [0, 1, 0, 1]]"
816.a.13872.1,"[[3, -8, 6, 0, -2], [0, 0, 1, 1]]"
816.a.39168.1,"[[0, 1, -1, -4, 0, 3], [1, 0, 1]]"
826.a.11564.1,"[[3, -4, -4, 3, 1, 1], [0, 1, 1]]"
830.a.6640.1,"[[1, 1, -2, 0, 1, -1], [1, 0, 0, 1]]"
830.a.830000.1,"[[0, 1, 8, 16, -2, 1], [0, 1, 1]]"
832.a.832.1,"[[-1, 2, 1, -1, 0, 1], [0, 1, 0, 1]]"
834.a.1668.1,"[[-1, 1, -1], [1, 0, 0, 1]]"
847.c.9317.1,"[[-2, -1, 0, 1, 1], [0, 0, 1, 1]]"
856.a.1712.1,"[[0, 1, 0, -1, -1], [0, 1, 0, 1]]"
862.a.862.1,"[[5, 2, 7, -7, -2, 1], [1, 0, 0, 1]]"
862.a.6896.1,"[[0, -1, -3, 0, 6, 4], [0, 1, 1]]"
862.b.862.1,"[[-1, -1, 3, 0, -2], [0, 1, 0, 1]]"
886.a.3544.1,"[[1, -1, 0, 0, -1], [0, 1, 0, 1]]"
893.a.893.1,"[[0, 0, -1, 0, -1], [1, 1, 0, 1]]"
909.a.909.1,"[[0, -1, 1, 0, -1], [0, 1, 0, 1]]"
909.a.8181.1,"[[0, -3, 6, 1, -7, 3], [0, 1]]"
925.a.925.1,"[[0, 0, -1, -1, 2, -1], [1, 1]]"
925.a.23125.1,"[[0, -5, 18, -19, 1, 5], [0, 1]]"
932.a.3728.1,"[[0, -1, 1, 0, 1, -2, 1], [1]]"
953.a.953.1,"[[0, 0, 1, 1], [1, 1, 0, 1]]"
966.a.834624.1,"[[1, -1, 1, 1, -1, 1], [0, 1, 1]]"
970.a.1940.1,"[[0, 0, 1, 1, 1, 1], [1, 1]]"
971.a.971.1,"[[0, 1, 0, -2, 0, 1], [1]]"
975.a.63375.1,"[[-1, 1, 2, 1, 0, -1], [1, 0, 0, 1]]"
976.a.999424.1,"[[0, 0, -1, 2, 0, -2, 1], [1, 1]]"
997.a.997.1,"[[0, -1, 0, 16, -8, 1], [0, 1]]"
997.a.997.2,"[[0, 0, 0, 0, 1, 1], [1, 1]]"
997.b.997.1,"[[0, 0, -1, 2, -2, 1], [1]]"
1012.a.4048.1,"[[0, 1, 1, 1, 1], [1, 0, 0, 1]]"
1038.a.1038.2,"[[1, 1, 2, 0, 1], [1, 0, 0, 1]]"
1038.a.1038.1,"[[3, 21, 46, 26, -12, 1], [0, 1, 1]]"
1042.a.1042.1,"[[2, 2, -1, -1, -1], [0, 1, 0, 1]]"
1047.a.3141.1,"[[0, 1], [0, 1, 0, 1]]"
1051.a.1051.1,"[[0, -1, 1, 0, -1, 1], [1]]"
1051.b.1051.1,"[[0, 0, 0, 0, -1, -1], [1, 1]]"
1051.b.1051.2,"[[0, 1, 0, 16, 8, 1], [0, 1]]"
1055.a.1055.1,"[[-1, -1, 1, 0, -1], [1, 0, 0, 1]]"
1062.a.6372.1,"[[0, -1, 1, 0, -1, 1], [1, 0, 0, 1]]"
1069.a.1069.1,"[[0, 0, 0, 1, 0, 1], [1, 1, 1]]"
1070.a.2140.1,"[[0, -1, 0, 1], [1, 0, 0, 1]]"
1077.a.1077.2,"[[0, 1, 2, 1, 1], [1, 0, 0, 1]]"
1077.a.1077.1,"[[32, -90, -1, 80, 34, 5], [1, 0, 0, 1]]"
1077.b.1077.1,"[[-2, -1, 0, 0, 1, 1], [0, 0, 0, 1]]"
1077.b.1077.2,"[[-1, 15, -79, 38, 14, 1], [1]]"
1091.a.1091.1,"[[0, 0, -1, -2, 0, 1], [1, 1, 1]]"
1094.a.2188.1,"[[0, 0, -1, 0, 1], [1, 0, 0, 1]]"
1104.a.17664.1,"[[-1, 3, -4, 4, -2, 1], []]"
1109.a.1109.1,"[[-36, 63, -6, -36, -6, 1], [1]]"
1109.b.1109.1,"[[0, 1, 1, -1, -1, 1], [1]]"
1109.c.1109.1,"[[-1, 0, -2, -2, 0, 1], [0, 1, 0, 1]]"
1116.a.214272.1,"[[0, -1, 1, 2, 1], [1, 0, 0, 1]]"
1122.b.2244.1,"[[0, -1, -1, 5, 7, 1], [0, 1, 1]]"
1123.a.1123.1,"[[0, -1, -1, 0, -1], [0, 1, 0, 1]]"
1127.a.1127.1,"[[0, -1, -1, 1, -1], [1, 1, 0, 1]]"
1136.a.9088.1,"[[1, -1, 2, -1, 1], [0, 1, 0, 1]]"
1136.a.290816.1,"[[-24, 40, 25, -9, -5], [0, 0, 1, 1]]"
1137.a.1137.1,"[[0, 0, 0, 1, 1, 1], [1, 1, 1]]"
1142.a.2284.1,"[[-2, -1, 1, -1, -1], [0, 0, 1, 1]]"
1142.b.9136.1,"[[3, 1, -6, 0, 3, -1], [1, 1]]"
1145.a.1145.1,"[[0, -1, 0, 3, -3], [1, 0, 0, 1]]"
1145.a.143125.1,"[[9, 10, 9, 4, 2], [0, 1, 1, 1]]"
1146.a.2292.1,"[[0, 2, 4, 5, 3, 1], [0, 1]]"
1147.a.35557.1,"[[0, 1, 8, 18, 8, 1], [0, 1]]"
1147.a.35557.2,"[[0, 1, -32, 0, 6, 1], [0, 1]]"
1148.a.8036.1,"[[-1, 5, 1, -6, -1, 1], [1, 0, 0, 1]]"
1148.a.47068.1,"[[0, 1, 0, -5, 2, 1], [1, 1, 1]]"
1164.a.1164.1,"[[-1, 0, 1, 0, -1], [1, 0, 0, 1]]"
1164.b.670464.1,"[[0, 0, -1, 1, -2, 2], [1, 1, 1]]"
1180.a.18880.1,"[[0, 2, 4, 0, -2], [1, 0, 0, 1]]"
1184.a.2368.1,"[[0, 1, 1, 0, 1, 2], [1]]"
1184.a.606208.2,"[[2, -2, 6, -4, 5, -2, 1], []]"
1184.a.606208.1,"[[0, -2, -8, -8, 1, 2], []]"
1192.a.19072.1,"[[1, -1, -2, 1], [0, 1, 0, 1]]"
1197.a.10773.1,"[[2, -1, -1, -1], [0, 0, 1, 1]]"
1197.a.410571.1,"[[0, 1, -3, -7, 12, 1], [1, 0, 1]]"
1198.a.2396.1,"[[0, -1], [1, 0, 0, 1]]"
1205.a.1205.1,"[[0, 0, -1, 0, 2, 1], [1]]"
1207.a.1207.1,"[[0, 0, 0, 0, -1, -1], [1, 1, 1]]"
1216.a.1216.1,"[[0, 0, -1, -1, 1, 0, -1], [1, 1]]"
1216.a.19456.1,"[[-1, 6, -6, -11, 3, 4], [0, 0, 1]]"
1231.a.1231.1,"[[-2, -1, 2, 0, -1], [1, 0, 0, 1]]"
1239.a.8673.1,"[[0, -1, -1, 0, 0, 0, -1], [1, 1, 1]]"
1253.a.1253.1,"[[-330, 15, 43, -33, 0, 2, -1], [1, 0, 1, 1]]"
1253.b.1253.1,"[[0, 0, 1, 0, 1], [1, 1, 0, 1]]"
1258.a.21386.1,"[[-1, 5, -4, -5, 4, 1], [0, 1]]"
1269.a.1269.1,"[[0, 1, 1], [1, 1, 1, 1]]"
1269.b.102789.1,"[[-103, -16, -80, -8, -21, -1, -2], [0, 1, 0, 1]]"
1269.b.102789.2,"[[0, 1, 1, 0, -1, 1], [0, 1]]"
1270.a.1270.1,"[[-3, -2, 5, 0, -2], [1, 0, 0, 1]]"
1270.a.325120.1,"[[3, -32, 14, 76, 17, 1], [0, 1, 1]]"
1272.a.122112.1,"[[0, -1, -1, 2, 4, 3], [1, 0, 1]]"
1280.a.12800.1,"[[0, 0, -1, -1, 1, 2], [1]]"
1284.a.5136.1,"[[1, -2, 1, 0, -1], [1, 0, 0, 1]]"
1285.a.1285.1,"[[0, -1, 0, 3, -2, 1], [1]]"
1309.a.9163.1,"[[0, 1, -1, -5, -1, 7], [1, 0, 1]]"
1309.a.9163.2,"[[0, 1, 32, 248, -128, 20, -1], [0, 0, 1]]"
1311.a.814131.1,"[[0, 1, 4, 5, 5, 1], [0, 1]]"
1312.a.2624.1,"[[0, 0, 1, 2, 3, 2, 1], [1, 1]]"
1312.b.10496.1,"[[0, 0, 1, 1, 1, 0, 1], [1, 1]]"
1312.b.83968.1,"[[0, -1, -1, 15, -21, 8], [0, 1]]"
1312.c.671744.1,"[[0, 0, 2, 5, 7, 4, 1], [1, 1]]"
1327.a.1327.1,"[[0, 0, 0, 1, 2, 1], [1, 1, 1]]"
1328.a.1328.1,"[[-5, -4, -5, -9, -3, 1], [0, 0, 1]]"
1328.a.84992.1,"[[1, 8, 13, 16, 9, 4], [1, 1]]"
1333.a.41323.1,"[[0, 2, 3, -2, 0, 1], [1, 0, 1]]"
1338.a.2676.1,"[[1, 1, 2, 1, 1], [0, 1, 1, 1]]"
1338.b.72252.1,"[[5, -6, -12, 4, 7, 1], [0, 1, 1]]"
1343.a.1343.1,"[[0, -1, 0, 0, -2, 1], [1, 1, 0, 1]]"
1343.b.1343.1,"[[0, 1, 2, 1, -3], [1, 1, 0, 1]]"
1345.a.6725.1,"[[0, -1, 0, 1, 0, 1], [1, 0, 1]]"
1376.a.2752.1,"[[0, 0, -2, 0, 3, 2], [1]]"
1376.b.176128.1,"[[0, 0, 2, 1, 4, 4], [1]]"
1377.a.37179.1,"[[2, 1, -5, 1, 5, -1], [1, 1, 1]]"
1383.a.4149.1,"[[0, 0, 0, 0, 1, 1], [1]]"
1385.a.6925.1,"[[0, -1, 0, 3, 3, 1], [1]]"
1397.a.1397.1,"[[0, 0, 0, -1, 0, 1], [1]]"
1403.a.1403.1,"[[0, 0, -1, -1, 1, 1], [1]]"
1408.a.180224.1,"[[1, -5, 0, -1, 1], [1, 1, 1, 1]]"
1408.b.180224.2,"[[1, 2, -1, -4, 0, 2], []]"
1408.b.180224.1,"[[1, 2, 3, 4, 2, 2], []]"
1408.b.720896.1,"[[0, 1, -3, -8, 17, 4], [1]]"
1408.b.720896.2,"[[0, 1, -4, 2, 0, 1], []]"
1415.a.1415.1,"[[0, -1, 0, 1, -3, 1], [1, 1, 1]]"
1416.a.8496.1,"[[-1, 0, 0, -1, 0, 1], [0, 1, 0, 1]]"
1416.b.135936.1,"[[1, 1, 0, -1, -2], [0, 1, 0, 1]]"
1445.a.122825.1,"[[29, 10, 18, 4, 3], [0, 1, 1, 1]]"
1462.a.11696.1,"[[148, 94, -38, -27, 0, 2], [0, 1, 0, 1]]"
1468.a.2936.1,"[[0, 0, -1, 0, 0, -1], [1, 1, 0, 1]]"
1468.b.5872.1,"[[0, 0, 0, 0, -2, -2], [1, 1, 1]]"
1472.a.5888.1,"[[0, -1, -2, -1, 1, 1], []]"
1472.a.94208.1,"[[-3, 7, -1, -4, -3, 4], []]"
1472.a.94208.2,"[[0, 2, 4, 0, 1, 4], [1]]"
1473.a.1473.1,"[[0, -1, 0, 0, -1, 1], [1, 1, 1]]"
1488.a.71424.1,"[[0, -1, -1, -1, 0, 1], []]"
1490.a.1490.1,"[[0, 2, -2, -4, 0, 1], [1, 0, 0, 1]]"
1497.a.1497.1,"[[-1, 1, -2, 1, -1], [1, 1, 0, 1]]"
1497.b.13473.1,"[[0, 0, -1, 0, 3, -2], [1, 1, 0, 1]]"
1499.a.1499.1,"[[0, -1, 1, 0, 0, -1], [1, 0, 0, 1]]"
1503.a.4509.1,"[[0, 1, 0, -3, -1, 1], [1, 1, 0, 1]]"
1519.a.1519.1,"[[-1, -1, 2, 0, -2], [1, 1, 0, 1]]"
1524.a.780288.1,"[[4, 6, 8, 4, 2], [0, 1, 1, 1]]"
1532.a.1532.1,"[[-1, -1], [1, 0, 0, 1]]"
1532.a.392192.1,"[[-1, 12, -53, 0, 7, 1], [1, 1, 1]]"
1534.a.3068.1,"[[-1, 4, -1, -4, 0, 1], [1, 0, 0, 1]]"
1536.a.12288.1,"[[0, 2, -4, 5, -3, 1], []]"
1544.a.3088.1,"[[0, 0, 1], [1, 1, 1, 1]]"
